receive_msg_num, send_msg_num, msg_type, msg_priority, msg_start_time(ts), msg_end_time(ts), msg_trans_time(ns)
1, 1, b, 4, 1700645324.594435032, 1700645324.598206979,3771947
2, 1, d, 0, 1700645324.596439996, 1700645324.598627060,2187064
3, 1, a, 6, 1700645324.594377835, 1700645324.602579885,8202050
4, 2, b, 4, 1700645324.629537995, 1700645324.631666806,2128811
5, 2, d, 0, 1700645324.630651043, 1700645324.632945663,2294620
6, 2, c, 2, 1700645324.630499244, 1700645324.633328206,2828962
7, 2, a, 6, 1700645324.629799159, 1700645324.640528295,10729136
8, 3, b, 4, 1700645324.664326150, 1700645324.669083762,4757612
9, 3, d, 0, 1700645324.665013073, 1700645324.671176875,6163802
10, 3, c, 2, 1700645324.664747681, 1700645324.674186914,9439233
11, 3, a, 6, 1700645324.664665669, 1700645324.681859548,17193879
12, 4, d, 0, 1700645324.699535474, 1700645324.702896803,3361329
13, 4, c, 2, 1700645324.699452172, 1700645324.704914740,5462568
14, 4, b, 4, 1700645324.699020717, 1700645324.706525193,7504476
15, 4, a, 6, 1700645324.699377439, 1700645324.713006491,13629052
16, 5, d, 0, 1700645324.734149691, 1700645324.737831637,3681946
17, 5, c, 2, 1700645324.734057210, 1700645324.740672657,6615447
18, 5, b, 4, 1700645324.733596564, 1700645324.742999634,9403070
19, 5, a, 6, 1700645324.733985658, 1700645324.750639216,16653558
20, 6, d, 0, 1700645324.768924530, 1700645324.771773145,2848615
21, 6, c, 2, 1700645324.768649246, 1700645324.772805229,4155983
22, 6, b, 4, 1700645324.768203821, 1700645324.774883727,6679906
23, 6, a, 6, 1700645324.768500531, 1700645324.777662946,9162415
24, 7, d, 0, 1700645324.803587388, 1700645324.807017354,3429966
25, 7, c, 2, 1700645324.803301260, 1700645324.807541894,4240634
26, 7, b, 4, 1700645324.802889101, 1700645324.811976608,9087507
27, 7, a, 6, 1700645324.803527531, 1700645324.819415123,15887592
28, 8, d, 0, 1700645324.838099214, 1700645324.841576558,3477344
29, 8, c, 2, 1700645324.837812033, 1700645324.842537234,4725201
30, 8, b, 4, 1700645324.837458133, 1700645324.845598249,8140116
31, 8, a, 6, 1700645324.838120023, 1700645324.853828619,15708596
32, 9, d, 0, 1700645324.872655070, 1700645324.874022778,1367708
33, 9, c, 2, 1700645324.872319335, 1700645324.876659073,4339738
34, 9, b, 4, 1700645324.871963772, 1700645324.879368470,7404698
35, 9, a, 6, 1700645324.872813390, 1700645324.882959612,10146222
36, 10, d, 0, 1700645324.907421337, 1700645324.910845132,3423795
37, 10, c, 2, 1700645324.907074538, 1700645324.913569451,6494913
38, 10, b, 4, 1700645324.906481537, 1700645324.915946559,9465022
39, 10, a, 6, 1700645324.907222761, 1700645324.927006974,19784213
40, 11, d, 0, 1700645324.941966348, 1700645324.943266091,1299743
41, 11, c, 2, 1700645324.941655585, 1700645324.946211077,4555492
42, 11, b, 4, 1700645324.941037046, 1700645324.948938218,7901172
43, 11, a, 6, 1700645324.941929173, 1700645324.957283183,15354010
44, 12, b, 4, 1700645324.975494638, 1700645324.979682415,4187777
45, 12, d, 0, 1700645324.976366852, 1700645324.982614203,6247351
46, 12, c, 2, 1700645324.976032670, 1700645324.984897169,8864499
47, 12, a, 6, 1700645324.976386982, 1700645324.993054128,16667146
48, 13, b, 4, 1700645325.10005563, 1700645325.14695275,4689712
49, 13, d, 0, 1700645325.11074797, 1700645325.17177679,6102882
50, 13, c, 2, 1700645325.10537291, 1700645325.19517675,8980384
51, 13, a, 6, 1700645325.10804773, 1700645325.32860878,22056105
52, 14, b, 4, 1700645325.44616253, 1700645325.48049724,3433471
53, 14, d, 0, 1700645325.46456625, 1700645325.50332547,3875922
54, 14, c, 2, 1700645325.46716069, 1700645325.53629391,6913322
55, 14, a, 6, 1700645325.45418840, 1700645325.61738095,16319255
56, 15, b, 4, 1700645325.79081394, 1700645325.82458998,3377604
57, 15, d, 0, 1700645325.80884309, 1700645325.83284800,2400491
58, 15, c, 2, 1700645325.81104799, 1700645325.85812744,4707945
59, 15, a, 6, 1700645325.79720185, 1700645325.93995497,14275312
60, 16, b, 4, 1700645325.113635637, 1700645325.117851988,4216351
61, 16, d, 0, 1700645325.115581821, 1700645325.121768426,6186605
62, 16, c, 2, 1700645325.115782171, 1700645325.124070347,8288176
63, 16, a, 6, 1700645325.114020361, 1700645325.127029153,13008792
64, 17, b, 4, 1700645325.148190913, 1700645325.152186318,3995405
65, 17, d, 0, 1700645325.150025192, 1700645325.155027579,5002387
