receive_msg_num, send_msg_num, msg_type, msg_priority, msg_start_time(ts), msg_end_time(ts), msg_trans_time(ns)
1, 1, d, 0, 1700669936.680513112, 1700669936.702750161,22237049
2, 1, b, 4, 1700669936.677025345, 1700669936.716062573,39037228
3, 1, a, 6, 1700669936.676841390, 1700669936.726804251,49962861
4, 2, d, 0, 1700669936.715813289, 1700669936.735700101,19886812
5, 2, c, 2, 1700669936.713849248, 1700669936.748378030,34528782
6, 2, b, 4, 1700669936.714115267, 1700669936.757370742,43255475
7, 3, d, 0, 1700669936.750573283, 1700669936.762856315,12283032
8, 2, a, 6, 1700669936.733475119, 1700669936.773961322,40486203
9, 3, c, 2, 1700669936.748787164, 1700669936.784298017,35510853
10, 3, b, 4, 1700669936.748726549, 1700669936.797296962,48570413
11, 4, d, 0, 1700669936.785480375, 1700669936.811512062,26031687
12, 4, c, 2, 1700669936.783351951, 1700669936.824730992,41379041
13, 5, d, 0, 1700669936.820705250, 1700669936.835872588,15167338
14, 4, a, 6, 1700669936.807300127, 1700669936.849240638,41940511
15, 5, c, 2, 1700669936.817807260, 1700669936.861647777,43840517
16, 6, d, 0, 1700669936.856586416, 1700669936.869830694,13244278
17, 5, b, 4, 1700669936.829794608, 1700669936.880263882,50469274
18, 5, a, 6, 1700669936.846027593, 1700669936.889159784,43132191
19, 6, c, 2, 1700669936.857028459, 1700669936.898839819,41811360
20, 7, d, 0, 1700669936.891187723, 1700669936.910225968,19038245
21, 6, b, 4, 1700669936.869227827, 1700669936.920480182,51252355
22, 6, a, 6, 1700669936.882911087, 1700669936.930480526,47569439
23, 8, d, 0, 1700669936.926448512, 1700669936.940219463,13770951
24, 7, b, 4, 1700669936.913767711, 1700669936.954177961,40410250
25, 7, a, 6, 1700669936.922381674, 1700669936.968350609,45968935
26, 9, d, 0, 1700669936.961250188, 1700669936.982388361,21138173
27, 8, b, 4, 1700669936.953185235, 1700669936.996832374,43647139
28, 8, a, 6, 1700669936.964259481, 1700669937.7735438,43475957
29, 10, d, 0, 1700669936.996034998, 1700669937.13439440,17404442
30, 9, c, 2, 1700669936.973668479, 1700669937.21510368,47841889
31, 9, b, 4, 1700669936.987680769, 1700669937.25403053,37722284
32, 9, a, 6, 1700669937.749687, 1700669937.30501589,29751902
33, 10, c, 2, 1700669937.16197754, 1700669937.33624206,17426452
34, 11, d, 0, 1700669937.30441475, 1700669937.37726228,7284753
35, 10, b, 4, 1700669937.29568857, 1700669937.43996190,14427333
36, 10, a, 6, 1700669937.41192853, 1700669937.55899104,14706251
37, 11, c, 2, 1700669937.54849176, 1700669937.66291125,11441949
38, 11, b, 4, 1700669937.64235781, 1700669937.78695254,14459473
39, 12, d, 0, 1700669937.65025532, 1700669937.88216064,23190532
40, 11, a, 6, 1700669937.76758055, 1700669937.101420596,24662541
41, 13, d, 0, 1700669937.99597238, 1700669937.112088746,12491508
42, 12, c, 2, 1700669937.89451975, 1700669937.126771442,37319467
43, 12, b, 4, 1700669937.98722760, 1700669937.141249261,42526501
44, 14, d, 0, 1700669937.134240606, 1700669937.151793181,17552575
45, 13, c, 2, 1700669937.123906236, 1700669937.166893639,42987403
46, 13, b, 4, 1700669937.133231961, 1700669937.177244114,44012153
47, 15, d, 0, 1700669937.168775709, 1700669937.183151477,14375768
48, 13, a, 6, 1700669937.147552918, 1700669937.197581017,50028099
49, 14, c, 2, 1700669937.159320830, 1700669937.211044767,51723937
50, 16, d, 0, 1700669937.203274882, 1700669937.219821717,16546835
51, 14, a, 6, 1700669937.185658517, 1700669937.223420982,37762465
52, 15, c, 2, 1700669937.199138983, 1700669937.233040943,33901960
53, 15, b, 4, 1700669937.210866157, 1700669937.240482267,29616110
54, 17, d, 0, 1700669937.237824561, 1700669937.250541327,12716766
55, 15, a, 6, 1700669937.232276269, 1700669937.264854723,32578454
56, 16, c, 2, 1700669937.243691078, 1700669937.279466052,35774974
57, 18, d, 0, 1700669937.272381335, 1700669937.287542076,15160741
58, 16, b, 4, 1700669937.253701303, 1700669937.301637123,47935820
59, 16, a, 6, 1700669937.267855086, 1700669937.306005230,38150144
60, 17, c, 2, 1700669937.278365634, 1700669937.312011058,33645424
61, 19, d, 0, 1700669937.306698450, 1700669937.322990699,16292249
62, 17, b, 4, 1700669937.288156178, 1700669937.334854656,46698478
63, 18, c, 2, 1700669937.312803248, 1700669937.345834730,33031482
64, 20, d, 0, 1700669937.341159839, 1700669937.353521989,12362150
65, 18, b, 4, 1700669937.334665124, 1700669937.367615026,32949902
66, 19, c, 2, 1700669937.347205589, 1700669937.381163250,33957661
