msg_index, msg_priority, msg_type, msg_start_time(ts), msg_success_send
1, 4, b, 1700669549.338573876, 1
2, 4, b, 1700669549.373174065, 1
3, 4, b, 1700669549.408529724, 1
4, 4, b, 1700669549.467773604, 1
5, 4, b, 1700669549.521857729, 1
6, 4, b, 1700669549.582146021, 1
7, 4, b, 1700669549.630570359, 1
8, 4, b, 1700669549.683976599, 1
9, 4, b, 1700669549.724390491, 1
10, 4, b, 1700669549.766748228, 1
11, 4, b, 1700669549.812207985, 1
12, 4, b, 1700669549.849330994, 1
13, 4, b, 1700669549.889242284, 1
14, 4, b, 1700669549.950726239, 1
15, 4, b, 1700669549.996421484, 1
16, 4, b, 1700669550.39603253, 1
17, 4, b, 1700669550.74086178, 1
18, 4, b, 1700669550.110679098, 1
19, 4, b, 1700669550.174705426, 1
20, 4, b, 1700669550.227597105, 1
21, 4, b, 1700669550.264101749, 1
22, 4, b, 1700669550.305470817, 1
23, 4, b, 1700669550.340145041, 1
24, 4, b, 1700669550.405506276, 1
25, 4, b, 1700669550.441375813, 1
26, 4, b, 1700669550.485430047, 1
27, 4, b, 1700669550.521409197, 1
28, 4, b, 1700669550.571216304, 1
29, 4, b, 1700669550.617383615, 1
30, 4, b, 1700669550.676573923, 1
31, 4, b, 1700669550.730422592, 1
32, 4, b, 1700669550.780736963, 1
33, 4, b, 1700669550.839896423, 1
34, 4, b, 1700669550.898378007, 1
35, 4, b, 1700669550.932985586, 1
36, 4, b, 1700669550.978655729, 1
37, 4, b, 1700669551.26132436, 1
38, 4, b, 1700669551.64208081, 1
39, 4, b, 1700669551.111179826, 1
40, 4, b, 1700669551.154389516, 1
41, 4, b, 1700669551.199282488, 1
42, 4, b, 1700669551.255040019, 1
43, 4, b, 1700669551.306459057, 1
44, 4, b, 1700669551.357545937, 1
45, 4, b, 1700669551.402273525, 1
46, 4, b, 1700669551.442216712, 1
47, 4, b, 1700669551.478124616, 1
48, 4, b, 1700669551.512570391, 1
49, 4, b, 1700669551.560211813, 1
50, 4, b, 1700669551.594747104, 1
51, 4, b, 1700669551.629243716, 1
52, 4, b, 1700669551.677113618, 1
53, 4, b, 1700669551.717692133, 1
54, 4, b, 1700669551.752133574, 1
55, 4, b, 1700669551.786480886, 1
56, 4, b, 1700669551.826319991, 1
57, 4, b, 1700669551.860886168, 1
58, 4, b, 1700669551.895596265, 1
59, 4, b, 1700669551.929954293, 1
60, 4, b, 1700669551.964422106, 1
61, 4, b, 1700669551.998939524, 1
62, 4, b, 1700669552.33336780, 1
63, 4, b, 1700669552.67786000, 1
64, 4, b, 1700669552.102379621, 1
65, 4, b, 1700669552.140603876, 1
66, 4, b, 1700669552.180848084, 1
67, 4, b, 1700669552.215405329, 1
68, 4, b, 1700669552.275313240, 1
69, 4, b, 1700669552.315182562, 1
70, 4, b, 1700669552.349689862, 1
71, 4, b, 1700669552.399716035, 1
72, 4, b, 1700669552.451629362, 1
73, 4, b, 1700669552.498380364, 1
74, 4, b, 1700669552.536767353, 1
75, 4, b, 1700669552.595176310, 1
76, 4, b, 1700669552.646418462, 1
77, 4, b, 1700669552.697675620, 1
78, 4, b, 1700669552.748405181, 1
79, 4, b, 1700669552.803176913, 1
80, 4, b, 1700669552.859894629, 1
81, 4, b, 1700669552.900685625, 1
82, 4, b, 1700669552.968543107, 1
83, 4, b, 1700669553.25075237, 1
84, 4, b, 1700669553.60116761, 1
85, 4, b, 1700669553.115978923, 1
86, 4, b, 1700669553.159072292, 1
87, 4, b, 1700669553.201857856, 1
88, 4, b, 1700669553.243768242, 1
89, 4, b, 1700669553.295609037, 1
90, 4, b, 1700669553.340637373, 1
91, 4, b, 1700669553.396826530, 1
92, 4, b, 1700669553.448366435, 1
93, 4, b, 1700669553.508646520, 1
94, 4, b, 1700669553.559672447, 1
95, 4, b, 1700669553.604426576, 1
96, 4, b, 1700669553.639281768, 1
97, 4, b, 1700669553.702900708, 1
98, 4, b, 1700669553.763130207, 1
99, 4, b, 1700669553.806372104, 1
100, 4, b, 1700669553.856530669, 1
101, 4, b, 1700669553.911361179, 1
102, 4, b, 1700669553.954924491, 1
103, 4, b, 1700669554.7746508, 1
104, 4, b, 1700669554.64680197, 1
105, 4, b, 1700669554.112971408, 1
106, 4, b, 1700669554.160579893, 1
107, 4, b, 1700669554.215411300, 1
