msg_index, msg_priority, msg_type, msg_start_time(ts), msg_fail_send
1, 6, a, 1700207004.57396497, 0
2, 6, a, 1700207004.59069003, 0
3, 6, a, 1700207004.60682353, 0
4, 6, a, 1700207004.61989480, 0
5, 6, a, 1700207004.63214373, 0
6, 6, a, 1700207004.64394522, 0
7, 6, a, 1700207004.66035668, 0
8, 6, a, 1700207004.67180084, 0
9, 6, a, 1700207004.68603505, 0
10, 6, a, 1700207004.70558028, 0
11, 6, a, 1700207004.71881054, 0
12, 6, a, 1700207004.73356552, 0
13, 6, a, 1700207004.74852022, 0
14, 6, a, 1700207004.76354585, 0
15, 6, a, 1700207004.77546074, 0
16, 6, a, 1700207004.79403495, 0
17, 6, a, 1700207004.80925796, 0
18, 6, a, 1700207004.82866295, 0
19, 6, a, 1700207004.84736021, 0
20, 6, a, 1700207004.85971499, 0
21, 6, a, 1700207004.87301599, 0
22, 6, a, 1700207004.89043484, 0
23, 6, a, 1700207004.90354158, 0
24, 6, a, 1700207004.91803253, 0
25, 6, a, 1700207004.92973997, 0
26, 6, a, 1700207004.94303117, 0
27, 6, a, 1700207004.96310795, 0
28, 6, a, 1700207004.98461075, 0
29, 6, a, 1700207004.99818594, 0
30, 6, a, 1700207004.100999201, 0
31, 6, a, 1700207004.102340974, 0
32, 6, a, 1700207004.103741881, 0
33, 6, a, 1700207004.105483523, 0
34, 6, a, 1700207004.107305976, 0
35, 6, a, 1700207004.108940542, 0
36, 6, a, 1700207004.110534064, 0
37, 6, a, 1700207004.111650431, 0
38, 6, a, 1700207004.113152919, 0
39, 6, a, 1700207004.114401877, 0
40, 6, a, 1700207004.115941858, 0
41, 6, a, 1700207004.117386635, 0
42, 6, a, 1700207004.118847652, 0
43, 6, a, 1700207004.119987848, 0
44, 6, a, 1700207004.121291280, 0
45, 6, a, 1700207004.122852516, 0
46, 6, a, 1700207004.124403883, 0
47, 6, a, 1700207004.125603280, 0
48, 6, a, 1700207004.127401293, 0
49, 6, a, 1700207004.128740062, 0
50, 6, a, 1700207004.130164629, 0
51, 6, a, 1700207004.131610433, 0
52, 6, a, 1700207004.132858842, 0
53, 6, a, 1700207004.134074293, 0
54, 6, a, 1700207004.135642034, 0
55, 6, a, 1700207004.137207955, 0
56, 6, a, 1700207004.138417316, 0
57, 6, a, 1700207004.139557458, 0
58, 6, a, 1700207004.140884299, 0
59, 6, a, 1700207004.142495308, 0
60, 6, a, 1700207004.144225840, 0
61, 6, a, 1700207004.145971322, 0
62, 6, a, 1700207004.147231184, 0
63, 6, a, 1700207004.148377268, 0
64, 6, a, 1700207004.149688416, 0
65, 6, a, 1700207004.151394694, 0
66, 6, a, 1700207004.152712634, 0
67, 6, a, 1700207004.154167999, 0
68, 6, a, 1700207004.155300418, 0
69, 6, a, 1700207004.156810427, 0
70, 6, a, 1700207004.158231885, 0
71, 6, a, 1700207004.159411645, 0
72, 6, a, 1700207004.160747756, 0
73, 6, a, 1700207004.162184610, 0
74, 6, a, 1700207004.163736502, 0
75, 6, a, 1700207004.165021011, 0
76, 6, a, 1700207004.166746262, 0
77, 6, a, 1700207004.168267596, 0
78, 6, a, 1700207004.169383002, 0
79, 6, a, 1700207004.170895452, 0
80, 6, a, 1700207004.172429146, 0
81, 6, a, 1700207004.173950618, 0
82, 6, a, 1700207004.175111475, 0
83, 6, a, 1700207004.176733201, 0
84, 6, a, 1700207004.178324835, 0
85, 6, a, 1700207004.179739535, 0
86, 6, a, 1700207004.180857993, 0
87, 6, a, 1700207004.182494515, 0
88, 6, a, 1700207004.184220434, 0
89, 6, a, 1700207004.185446631, 0
90, 6, a, 1700207004.186621971, 0
91, 6, a, 1700207004.187939904, 0
92, 6, a, 1700207004.189788029, 0
93, 6, a, 1700207004.190950359, 0
94, 6, a, 1700207004.192164671, 0
95, 6, a, 1700207004.193828515, 0
96, 6, a, 1700207004.195254599, 0
97, 6, a, 1700207004.196455441, 0
98, 6, a, 1700207004.197588073, 0
99, 6, a, 1700207004.199232574, 0
100, 6, a, 1700207004.200879404, 0
101, 6, a, 1700207004.202754306, 0
102, 6, a, 1700207004.203941622, 0
103, 6, a, 1700207004.205632054, 0
104, 6, a, 1700207004.206799350, 0
105, 6, a, 1700207004.208017174, 0
106, 6, a, 1700207004.209954488, 0
107, 6, a, 1700207004.212144359, 0
108, 6, a, 1700207004.213287762, 0
109, 6, a, 1700207004.214469866, 0
110, 6, a, 1700207004.215754118, 0
111, 6, a, 1700207004.217138091, 0
112, 6, a, 1700207004.218906250, 0
